cb_2020_3,tcc_mean
1400000US36091062509,53.97441779245627
1400000US36091062601,51.199156089307685
1400000US36091062602,45.213144743784966
1400000US36091062700,43.09813153557243
1400000US36091062800,24.022696483465015
1400000US36091062900,73.86597235744095
1400000US36093020101,34.74095082929516
1400000US36093020102,28.66378873578684
1400000US36093020200,17.562459247525837
1400000US36093020300,10.97840797324766
1400000US36093020500,26.090266890198865
1400000US36093020600,39.44046364227139
1400000US36093020700,27.823239802867832
1400000US36093020800,27.76467754597141
1400000US36093020900,11.582807046104195
1400000US36093021001,2.3570658297118947
1400000US36093021002,21.864877770650704
1400000US36093021200,30.125722030806653
1400000US36093021400,24.67017539446987
1400000US36093021500,18.317531838832206
1400000US36093021600,13.453640658408853
1400000US36093021700,19.37563686123819
1400000US36093021801,30.653416233595024
1400000US36093021802,32.824787740754715
1400000US36093031901,54.182384389168334
1400000US36093031902,48.68464006019701
1400000US36093032000,42.26882647499587
1400000US36093032101,41.528046153084844
1400000US36093032102,51.31825299919879
1400000US36093032200,32.25007660923363
1400000US36093032300,26.015265586379428
1400000US36093032402,31.416495724265626
1400000US36093032403,26.523653643456917
1400000US36093032404,58.108965423014304
1400000US36093032502,56.42469712379875
1400000US36093032503,50.99031067416151
1400000US36093032504,61.73326098353589
1400000US36093032601,36.91538276963313
1400000US36093032602,53.00384580510334
1400000US36093032700,19.048485559265956
1400000US36093032901,33.419704275050314
1400000US36093032902,27.326427975512015
1400000US36093033002,45.58406192757175
1400000US36093033003,32.62047708023621
1400000US36093033004,20.180480848460405
1400000US36093033101,47.21945360154005
1400000US36093033102,48.5574673676631
1400000US36093033200,29.696159457751747
1400000US36093033300,28.21677249079365
1400000US36093033400,30.540075526847172
1400000US36093033500,17.229263935636588
1400000US36095740100,37.771028597900504
1400000US36095740200,35.95803456149803
1400000US36095740300,10.308891236832839
1400000US36095740400,36.605596344552715
1400000US36095740500,56.42069567307873
1400000US36095740600,70.4121291176139
1400000US36095740700,53.83654831033945
1400000US36095740800,68.9435249079653
1400000US13013180103,41.799769000539264
1400000US13013180104,41.77512215519554
1400000US13013180105,40.16998173133399
1400000US13013180106,42.02200230647419
1400000US13013180107,35.5179577296168
1400000US13013180108,37.052050682989616
1400000US13013180203,40.031331046076346
1400000US13013180204,44.29673833438993
1400000US13013180205,26.726926320631758
1400000US13013180206,46.54415414321714
1400000US13013180301,33.25383855494986
1400000US13013180302,33.261114971193784
1400000US13013180303,44.896865557189315
1400000US13013180401,35.986921721831905
1400000US13013180402,33.165684752545765
1400000US13013180501,36.622101303627886
1400000US13013180502,37.66286679326428
1400000US13013180503,35.721275268251986
1400000US13015960101,56.95993167525706
1400000US13015960103,72.36793853942837
1400000US13015960104,65.02303046180701
1400000US13015960105,44.562580328063866
1400000US13015960201,48.98652846546792
1400000US13015960202,22.345885223248263
1400000US13015960203,51.0696431491134
1400000US13015960301,60.27096771598784
1400000US13015960302,53.11378045292516
1400000US13015960403,22.575363070147745
1400000US13015960404,34.536207278281246
1400000US13015960405,52.97869459349695
1400000US13015960406,39.67229453363049
1400000US13015960407,35.27640027437423
1400000US13015960501,31.477236468381438
1400000US13015960502,43.97550921527928
1400000US13015960601,18.796003790271893
1400000US13015960602,23.267279746255493
1400000US13015960701,18.581083656098013
1400000US13015960702,63.15778839492683
1400000US13015960801,53.75764668773496
1400000US13015960802,49.36187922455902
1400000US13015960804,62.43331447448281
1400000US13015960805,49.55710762758583
1400000US13015960901,27.5656743225134
1400000US13015960902,41.48806394303233
1400000US13015961001,34.0584728081438
1400000US13015961002,35.714777698514744
1400000US13035150101,54.859230159520735
1400000US13035150102,64.01443306724224
1400000US13035150201,54.14214291980783
1400000US13035150202,37.595917214993335
1400000US13035150300,48.34045980957288
1400000US13045910101,40.496359770606055
1400000US13045910103,42.5168801102439
1400000US13045910105,52.867860538848625
1400000US13045910106,39.81489501210491
1400000US13045910201,54.486667019600134
1400000US13045910202,45.24395487923336
1400000US13045910203,44.818796885882115
1400000US13045910301,47.65269775906435
1400000US13045910302,54.10997580587086
1400000US13045910400,49.68606082832752
1400000US13045910502,24.612463310760255
1400000US13045910503,42.063646764500376
1400000US13045910504,38.63506411239757
1400000US13045910600,43.521270623048295
1400000US13045910704,55.23459170197014
1400000US13045910705,44.04751657891497
1400000US13045910706,49.830231787643974
1400000US13045910707,54.0497558623565
1400000US13045910708,30.209726822358615
1400000US13045910709,45.15727387329445
1400000US13045910800,62.48977020289659
1400000US13045910900,45.231439035140575
1400000US13045911001,48.60484132712815
1400000US13045911002,47.48212591719588
1400000US13045911101,27.60362787729899
1400000US13045911102,35.24337268064497
1400000US13045911201,38.22162213492908
1400000US13045911202,36.27864201883949
1400000US13057090101,68.45427496330643
1400000US13057090102,62.31814917240521
1400000US13057090103,55.16876173055621
1400000US13057090201,63.72299418150128
1400000US13057090202,72.60070892069622
1400000US13057090301,54.40250316431758
1400000US13057090302,65.28872652906817
1400000US13057090303,69.68440512920445
1400000US13057090401,37.42571514017183
1400000US13057090402,54.51409224159443
1400000US13057090503,43.86946877996565
1400000US13057090504,48.154533114034464
1400000US13057090505,45.26700726297142
1400000US13057090506,65.87954691015025
1400000US13057090507,46.598085405777724
1400000US13057090603,52.6945907975445
1400000US13057090604,55.311512203045254
1400000US13057090605,56.401312921059585
1400000US13057090606,58.04843019701192
1400000US13057090703,42.11512177802204
1400000US13057090704,51.309076375107495
1400000US13057090705,56.09253742883453
1400000US13057090706,40.301059444182705
1400000US13057090707,40.7095987252464
1400000US13057090708,50.24910718820201
1400000US13057090709,49.5838152813329
1400000US13057090710,57.08011258180561
1400000US13057090805,51.06772522448175
1400000US13057090806,49.90194696086774
1400000US13057090807,37.70257380992062
1400000US13057090808,37.12168348003495
1400000US13057090809,48.924380057999244
1400000US13057090810,42.16011206139575
1400000US13057090905,41.20795734242859
1400000US13057090906,50.720983493412895
1400000US13057090907,42.785793677509076
1400000US13057090908,36.492515695576415
1400000US13057090909,41.92916358970914
1400000US13057090910,46.055729926396154
1400000US13057090911,48.620184514059225
1400000US13057090912,52.69344486370174
1400000US13057091001,32.964033289194255
1400000US13057091006,41.66333349507919
1400000US13057091007,51.91987314046648
1400000US13057091009,53.49843120146155
1400000US13057091010,57.51125870269982
1400000US13057091011,35.31523117956519
1400000US13057091012,41.96207646120429
1400000US13057091013,41.57159749119534
1400000US13057091014,42.211014511356645
1400000US13057091101,49.54410739127453
1400000US13057091104,46.32690986971524
1400000US13057091105,43.5761272041434
1400000US13057091106,50.313060588690234
1400000US13057091107,52.858412064020726
1400000US13057091108,52.82568733518995
1400000US13063040202,18.366967225478223
1400000US13063040203,45.132939992238285
1400000US13063040204,25.200035199502096
1400000US13063040302,38.43486823134327
1400000US13063040306,8.516700088440814
1400000US13063040307,35.40284057997558
1400000US13063040308,16.85673592422386
1400000US13063040309,32.192051573450215
1400000US13063040310,28.752993667351003
1400000US13063040407,29.02824813224756
1400000US13063040409,25.718834560918836
1400000US13063040410,29.671657150525327
1400000US13063040414,30.683253924205317
1400000US13063040416,31.018220379302992
1400000US13063040417,23.16257317344583
1400000US13063040418,40.96417010532662
1400000US13063040419,23.22821888065045
1400000US13063040420,36.9887554797741
1400000US13063040421,35.91279264914304
1400000US13063040422,19.596216738690803
1400000US13063040423,36.1976402913124
1400000US13063040424,17.445170733681948
