cb_2020_3,road_density_local,road_density_secondary,road_len_total_m
1400000US36001014613,2382.461499262943,0.0,330972.83001451753
1400000US36001014614,10133.404208101016,0.0,128771.45270116683
1400000US36001014615,17208.76633589054,0.0,127972.4788357055
1400000US36001014616,11274.162502661355,7638.698806846761,224622.88507645996
1400000US36001014617,7343.541723055842,8554.652249628884,294274.87459826295
1400000US36001014700,1747.3644315225902,0.0,441635.56514031003
1400000US36001014801,1252.048179761062,0.0,624093.1946077972
1400000US36001014802,318.2178833709635,0.0,362941.67780309985
1400000US36001014803,1078.548268618718,0.0,516318.6330740397
1400000US36083040100,9143.555872225765,0.0,52868.4608919288
1400000US36083040200,11801.891499026817,0.0,48544.45569374616
1400000US36083040300,9450.323230073587,0.0,39981.769650030095
1400000US36083040400,23565.621079141074,7476.035689381234,54057.90607458103
1400000US36083040500,55930.89844717363,0.0,59299.75739054151
1400000US36083040600,54034.648663665714,0.0,58679.55739801364
1400000US36083040701,23808.136553548786,1063.4880852723015,56275.8303649365
1400000US36083040702,73653.09307796598,0.0,89462.69818240828
1400000US36083040800,28164.51349449479,0.0,27088.650128373614
1400000US36083040900,9349.219221694932,0.0,36252.702312217065
1400000US36083041000,11168.747483919018,0.0,66572.97673311913
1400000US36083041101,17766.175101914767,0.0,85633.801044817
1400000US36083041102,9850.499658838924,0.0,34658.65324120152
1400000US36083041200,14978.384674394032,0.0,66313.30938625959
1400000US36083041300,27693.223991739393,0.0,121940.7051142916
1400000US36083041400,11932.49466687692,0.0,110378.54853057426
1400000US36083051500,16393.057693413568,0.0,100989.30277655963
1400000US36083051601,0.0,23675.883664811077,67528.69052975667
1400000US36083051602,0.0,14505.87594707481,73363.64838489091
1400000US36083051701,834.6506198681436,0.0,424258.6198184274
1400000US36083051702,14015.128666316305,0.0,105171.64278760242
1400000US36083051800,339.4096661402925,0.0,494873.6561785598
1400000US36083051901,750.1423850432919,0.0,349165.828632603
1400000US36083051902,1128.2623116578843,0.0,156547.08299723596
1400000US36083052002,2057.079804018755,0.0,233165.25550111866
1400000US36083052003,3231.8116321915195,0.0,218979.09114887865
1400000US36083052004,3109.801523225821,0.0,239497.335451681
1400000US36083052101,440.49168130554943,0.0,269807.77555350226
1400000US36083052102,864.346327995676,0.0,248680.03944136976
1400000US36083052103,356.8677203527763,0.0,327464.6406873452
1400000US36083052201,1314.9905893895861,0.0,291435.766487145
1400000US36083052203,1989.1767570070074,0.0,335107.0768461996
1400000US36083052204,4234.150978693432,0.0,236996.57727268842
1400000US36083052301,2777.477989077092,1776.6122163460502,221102.54788191436
1400000US36083052303,14322.11379203065,0.0,113572.70414419254
1400000US36083052305,14084.797071731022,0.0,141364.20341608807
1400000US36083052306,5220.527082937211,0.0,137268.79799054877
1400000US36083052402,1521.3437927350633,1524.7011043079056,182369.0964824258
1400000US36083052405,18699.475082733574,0.0,72383.55396290451
1400000US36083052406,6624.843906714042,3696.53919834257,191524.4531339611
1400000US36083052407,4903.28828419034,0.0,84137.45838612375
1400000US36083052408,4280.164915042156,0.0,102887.09479744105
1400000US36083052501,1564.2660470926114,827.6629704625666,421421.5783047185
1400000US36083052502,1619.9896340347666,1027.469443786012,394429.3309302841
1400000US36083052503,26674.625313175326,0.0,75675.05631837966
1400000US36083052601,831.8852743010497,287.378715285042,424492.65845839167
1400000US36083052602,13388.617984265753,0.0,50572.01391966375
1400000US36083052603,725.1848777167818,0.0,374879.14585325134
1400000US36091060102,3134.035129639189,10237.218485365234,389077.9148013685
1400000US36091060103,599.5808770172708,2795.956459789706,212810.7912554052
1400000US36091060104,1408.1764778889515,4750.284314378003,423176.05363776116
1400000US36091060200,14349.99073329419,0.0,92270.1479254914
1400000US36091060301,609.6171756695067,0.0,148535.60402883947
1400000US36091060400,11370.763999770972,0.0,69494.49921614763
1400000US36091060501,279.7845351648846,0.0,277878.54235859995
1400000US36091060504,0.0,0.0,231624.6214964259
1400000US36091060505,0.0,0.0,322260.41901961336
1400000US36091060506,0.0,0.0,192368.67089846486
1400000US36091060507,0.0,0.0,100976.2978972373
1400000US36091060601,854.5832889824869,0.0,181358.30335040978
1400000US36091060602,339.70910386232555,0.0,288620.7059013398
1400000US36091060703,685.3398524933418,3826.565992667576,255635.78297487734
