cb_2020_3,dist_water_m
1400000US13067030266,542.2344234100758
1400000US13067030267,411.6324829438475
1400000US13067030268,431.541908922566
1400000US13067030269,427.666710449268
1400000US13067030270,466.91074781393297
1400000US13067030271,691.0011343652818
1400000US13067030272,482.0312179341048
1400000US13067030273,412.3137980327521
1400000US13067030274,568.413456704761
1400000US13067030275,347.24282234448344
1400000US13067030276,771.8171822114796
1400000US13067030277,503.4529496969031
1400000US13067030278,450.97801899350355
1400000US13067030319,429.8446239443886
1400000US13067030322,530.7143372463619
1400000US13067030324,641.0478458130236
1400000US13067030326,615.3910063179243
1400000US13067030327,687.9427560118233
1400000US13067030329,490.41388034571366
1400000US13067030331,377.01258874700926
1400000US13067030332,495.0816146318958
1400000US13067030334,511.2430160471777
1400000US13067030335,322.4024810249011
1400000US13067030337,386.666905170623
1400000US13067030340,897.7245388630118
1400000US13067030341,900.1175915553588
1400000US13067030342,477.8773612537747
1400000US13067030343,409.73248512991216
1400000US13067030344,502.8166278605482
1400000US13067030345,458.99409482688185
1400000US13067030346,697.7525171530042
1400000US13067030347,742.6897281040292
1400000US13067030348,758.5310286386316
1400000US13067030349,510.74382090635214
1400000US13067030350,717.0753768669216
1400000US13067030351,629.4315184983107
1400000US13067030352,487.2821551671907
1400000US13067030353,685.5022626871819
1400000US13067030354,526.9940769705726
1400000US13067030355,303.1689146017337
1400000US13067030356,300.2325385383293
1400000US13067030357,522.0554459075124
1400000US13067030358,781.5704020610933
1400000US13067030359,516.0945716633246
1400000US13067030360,327.85269195758326
1400000US13067030361,755.0976253811073
1400000US13067030362,802.805094960329
1400000US13067030363,446.50622768525426
1400000US13067030364,340.0671515423663
1400000US13067030365,644.2252748897126
1400000US13067030366,758.6712567942403
1400000US13067030367,602.5197234257149
1400000US13067030368,528.6003821921732
1400000US13067030369,350.4456205247942
1400000US13067030370,399.1417906146581
1400000US13067030405,1265.457413212435
1400000US13067030407,832.1129598386829
1400000US13067030408,619.534450456739
1400000US13067030409,957.5517496141737
1400000US13067030410,712.4854529861394
1400000US13067030411,954.827892296842
1400000US13067030412,596.2142345604808
1400000US13067030413,941.5727305799774
1400000US13067030414,561.6439984864941
1400000US13067030505,379.6831487149032
1400000US13067030506,585.1304428763829
1400000US13067030507,557.0882047309685
1400000US13067030508,567.9684263630655
1400000US13067030509,515.2227480794513
1400000US13067030510,471.7652199959134
1400000US13067030511,679.05454089558
1400000US13067030602,1008.6888854087027
1400000US13067030603,612.0017076569964
1400000US13067030604,401.4231086750734
1400000US13067030700,1358.503818542864
1400000US13067030800,1098.5303942479459
1400000US13067030906,619.8385915931392
1400000US13067030907,862.3695690153311
1400000US13067030908,618.1466563928878
1400000US13067030909,545.0710568811667
1400000US13067030910,750.1413203804717
