cb_2020_3,cbsa_code,cbsa_title,group,county_fips,tract_name,population
1400000US36091060902,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 609.02, Saratoga County, New York",1865
1400000US36091061001,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 610.01, Saratoga County, New York",2880
1400000US36091061002,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 610.02, Saratoga County, New York",2093
1400000US36091061101,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 611.01, Saratoga County, New York",2244
1400000US36091061102,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 611.02, Saratoga County, New York",3309
1400000US36091061201,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 612.01, Saratoga County, New York",2276
1400000US36091061202,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 612.02, Saratoga County, New York",3167
1400000US36091061301,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 613.01, Saratoga County, New York",3637
1400000US36091061303,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 613.03, Saratoga County, New York",1937
1400000US36091061304,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 613.04, Saratoga County, New York",3077
1400000US36091061305,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 613.05, Saratoga County, New York",3436
1400000US36091061401,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 614.01, Saratoga County, New York",4842
1400000US36091061403,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 614.03, Saratoga County, New York",6948
1400000US36091061404,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 614.04, Saratoga County, New York",3070
1400000US36091061500,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 615, Saratoga County, New York",3547
1400000US36091061600,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 616, Saratoga County, New York",4180
1400000US36091061701,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 617.01, Saratoga County, New York",5776
1400000US36091061702,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 617.02, Saratoga County, New York",4217
1400000US36091061800,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 618, Saratoga County, New York",5681
1400000US36091061904,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 619.04, Saratoga County, New York",5783
1400000US36091061905,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 619.05, Saratoga County, New York",3232
1400000US36091061906,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 619.06, Saratoga County, New York",3093
1400000US36091061907,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 619.07, Saratoga County, New York",4022
1400000US36091062001,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 620.01, Saratoga County, New York",4228
1400000US36091062002,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 620.02, Saratoga County, New York",2702
1400000US36091062100,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 621, Saratoga County, New York",1959
1400000US36091062200,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 622, Saratoga County, New York",2948
1400000US36091062300,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 623, Saratoga County, New York",2129
1400000US36091062404,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.04, Saratoga County, New York",2778
1400000US36091062406,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.06, Saratoga County, New York",4086
1400000US36091062407,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.07, Saratoga County, New York",4095
1400000US36091062408,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.08, Saratoga County, New York",2768
1400000US36091062409,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.09, Saratoga County, New York",2818
1400000US36091062410,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 624.10, Saratoga County, New York",3575
1400000US36091062501,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.01, Saratoga County, New York",4923
1400000US36091062503,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.03, Saratoga County, New York",6372
1400000US36091062505,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.05, Saratoga County, New York",4318
1400000US36091062506,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.06, Saratoga County, New York",4664
1400000US36091062507,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.07, Saratoga County, New York",4165
1400000US36091062508,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.08, Saratoga County, New York",4236
1400000US36091062509,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 625.09, Saratoga County, New York",3055
1400000US36091062601,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 626.01, Saratoga County, New York",2891
1400000US36091062602,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 626.02, Saratoga County, New York",6183
1400000US36091062700,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 627, Saratoga County, New York",6341
1400000US36091062800,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 628, Saratoga County, New York",2141
1400000US36091062900,10580,"Albany-Schenectady-Troy, NY",medium,36091,"Census Tract 629, Saratoga County, New York",603
1400000US36093020101,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 201.01, Schenectady County, New York",2214
1400000US36093020102,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 201.02, Schenectady County, New York",2220
1400000US36093020200,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 202, Schenectady County, New York",2154
1400000US36093020300,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 203, Schenectady County, New York",1909
1400000US36093020500,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 205, Schenectady County, New York",5203
1400000US36093020600,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 206, Schenectady County, New York",3403
1400000US36093020700,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 207, Schenectady County, New York",5446
1400000US36093020800,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 208, Schenectady County, New York",3787
1400000US36093020900,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 209, Schenectady County, New York",3621
1400000US36093021001,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 210.01, Schenectady County, New York",1221
1400000US36093021002,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 210.02, Schenectady County, New York",2486
1400000US36093021200,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 212, Schenectady County, New York",3189
1400000US36093021400,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 214, Schenectady County, New York",2909
1400000US36093021500,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 215, Schenectady County, New York",3381
1400000US36093021600,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 216, Schenectady County, New York",3466
1400000US36093021700,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 217, Schenectady County, New York",3563
1400000US36093021801,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 218.01, Schenectady County, New York",2175
1400000US36093021802,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 218.02, Schenectady County, New York",4291
1400000US36093031901,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 319.01, Schenectady County, New York",5160
1400000US36093031902,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 319.02, Schenectady County, New York",2636
1400000US36093032000,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 320, Schenectady County, New York",6634
1400000US36093032101,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 321.01, Schenectady County, New York",5798
1400000US36093032102,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 321.02, Schenectady County, New York",1887
1400000US36093032200,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 322, Schenectady County, New York",4919
1400000US36093032300,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 323, Schenectady County, New York",2729
1400000US36093032402,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 324.02, Schenectady County, New York",3620
1400000US36093032403,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 324.03, Schenectady County, New York",2610
1400000US36093032404,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 324.04, Schenectady County, New York",6082
1400000US36093032502,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 325.02, Schenectady County, New York",2520
1400000US36093032503,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 325.03, Schenectady County, New York",4269
1400000US36093032504,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 325.04, Schenectady County, New York",2501
1400000US36093032601,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 326.01, Schenectady County, New York",2435
1400000US36093032602,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 326.02, Schenectady County, New York",4365
1400000US36093032700,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 327, Schenectady County, New York",3921
1400000US36093032901,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 329.01, Schenectady County, New York",3584
1400000US36093032902,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 329.02, Schenectady County, New York",4391
1400000US36093033002,10580,"Albany-Schenectady-Troy, NY",medium,36093,"Census Tract 330.02, Schenectady County, New York",2448
