cb_2020_3,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean
1400000US36091060103,4.744693586260878,10.364197246650399,1.2845895299046917,65.2216952898384,0.0,1.498687784888807,2.619825958837884,1.9337906901791058,11.473824761729363,0.8586951517104838,2.314644614727759
1400000US36091060104,1.202230106436898,20.12366953877344,0.014191586416624428,30.149011657374558,0.0,0.10136847440446022,0.15408008109477953,28.71971616827167,19.07551951343132,0.46021287379624937,5.3005023973714875
1400000US36091060200,8.837101984310106,75.28841716658977,0.2768804799261652,13.036455929856944,0.0,0.0,0.1384402399630826,0.2076603599446239,1.7305029995385326,0.4845408398707891,35.98777111213659
1400000US36091060301,2.516241029403869,12.75659036813,1.6428942140773486,58.535712368237384,0.0,1.4818261538736868,0.8894536213468869,3.2142026236197365,17.78907242693774,1.1740071943733559,2.7808020615235947
1400000US36091060400,3.861725319215198,82.5288072251635,0.21800062285892244,5.605730302086577,0.0,0.03114294612270321,0.09342883836810963,0.0,7.47430706944877,0.18685767673621925,37.36997819993771
1400000US36091060501,3.310972566469001,5.565377750332027,0.16580240751863162,84.5253906084779,0.0,0.7511864177374739,0.7968666728701581,0.6141456523394212,4.1805892752912115,0.08966864896415792,1.1191493321377513
1400000US36091060504,12.695903161206108,4.7187021136866685,0.6932113929900517,73.89390217206237,0.0,0.5407859638881457,0.3745773842823438,1.3029131093976762,5.596769878140734,0.18323482434590843,0.8105350181149142
1400000US36091060505,7.099051531713249,2.585855289991027,0.23248225793294722,82.51748251748252,0.0,1.601791633604995,1.1008609630030628,0.020763965620805493,4.631847473841111,0.20986436681028411,0.37661384214936705
1400000US36091060506,0.6392777466111756,7.049015642735065,0.5910057534997195,75.74788973111195,0.0,1.2315881485733668,1.1441767015877573,1.9269657790708292,11.542224947487899,0.1278555493222351,1.2462132578376757
1400000US36091060507,4.6374146085128745,3.907364311988589,0.08257638315441783,77.33841303205466,0.0,1.5314165603182943,0.5161023947151115,0.8632985511598228,10.667367314766159,0.4560468433300803,0.5789730500713159
1400000US36091060601,0.3327647437152205,8.899359637594028,0.10486283940605687,63.980313749615505,0.0,0.7689941556444171,0.5201196834540421,5.387153603087162,18.708928721232628,1.2975028662509438,1.7726014373199854
1400000US36091060602,0.418983837992916,9.545764308971135,0.9852009523889651,69.39819449936479,0.0,1.168611548136868,1.1913275393533513,3.153316114051102,13.65651738614661,0.4820838135942587,1.68071453201349
1400000US36091060703,0.11012176320674574,21.867035836768085,0.0,54.862662429600725,0.0,0.29890192870402416,0.15102413239782272,6.1133310260202,16.4647767674543,0.1321461158480949,7.109198940951912
1400000US36091060704,0.031640229497131286,24.39250759365508,0.22570030374620317,46.90347620654742,0.0,1.7676341545730678,1.5482618967262909,3.3812858589267636,21.51113736078299,0.23835639554505567,7.63404238208211
1400000US36091060705,0.13083735909822866,44.625603864734295,0.020128824476650563,37.61070853462158,0.0,0.3321256038647343,0.5434782608695652,1.076892109500805,15.54951690821256,0.11070853462157809,12.004830431719835
1400000US36091060706,2.03136136849608,73.9575908766928,0.0,13.987883107626514,0.0,0.08018531717747684,0.18709907341411264,1.7284390591589451,7.991803278688526,0.03563791874554526,15.342476627271123
1400000US36091060800,2.2018587118996553,15.088061350490674,0.10788327809189575,31.11977643465263,0.0,0.23266393708975108,0.5992071228959511,26.162344836550332,23.78891271852863,0.6992916098004809,2.9072483972835674
1400000US36091060901,6.33835019981311,11.745233314114161,0.03876970793486689,39.01127303815337,0.0,0.09046265184802274,0.2763584309203332,26.4687754736863,14.651967314153927,1.3788098693759072,2.0294230097910466
1400000US36091060902,6.211975664425232,61.92763368555876,0.0,20.813320525136085,0.0,0.06404098623118795,0.1280819724623759,2.5616394492475183,7.845020813320525,0.44828690361831575,21.942172523961663
1400000US36091061001,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.771860095389506
1400000US36091061002,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.80413793103449
1400000US36091061101,0.43622766929788115,69.79642708766099,0.0,21.93601994183631,0.0,0.0,0.0,4.403822185292896,3.3651848774407975,0.062318238471125886,26.041960947237225
1400000US36091061102,1.7330130404941664,83.2875772134523,0.0,7.086479066575155,0.0,0.0,0.051475634866163356,0.06863417982155114,7.240905971173644,0.5319148936170213,29.747083047357584
1400000US36091061201,0.0,96.09375,0.0,3.90625,0.0,0.0,0.0,0.0,0.0,0.0,33.69591346153846
1400000US36091061202,0.0,94.82147724175525,0.0,4.796947397110929,0.0,0.0,0.0,0.0,0.38157536113382395,0.0,40.85527391659853
