Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Jackson_MS,Duluth,0.34321243,3.9130628,0.47405679000061196,0.40487533807754517
Jackson_MS,Fort_wayne,0.29587263,3.345094,0.48141596787056495,0.38225194811820984
Jackson_MS,Hartford,0.2539246,2.9021325,0.4877529945757415,0.3425004482269287
Jackson_MS,Jackson_MS,0.0,0.0,0.5083103852479758,0.0
Jackson_MS,Knoxvile,0.24181017,2.7291715,0.5081375390268508,0.37191829085350037
Jackson_MS,Lansing_east,0.34739178,3.9485915,0.4515749361297663,0.37701287865638733
Jackson_MS,Modesto,0.31608057,4.0993557,0.4375543527744423,0.4602665901184082
Jackson_MS,Montgomery,0.05714247,0.5782712,0.48731734856790976,0.10138005018234253
Jackson_MS,newyork,3.2999477,43.676334,0.4858757559921083,0.22521808743476868
Jackson_MS,Oklahoma,0.38313723,4.4527497,0.49469015489488144,0.41494861245155334
Knoxvile,Albany,0.22688109,2.5686269,0.41082131722971804,0.2418215423822403
Knoxvile,Atlanta,0.1934402,1.9845874,0.4714922502603416,0.19366106390953064
Knoxvile,Baton,0.42073032,4.6926975,0.42531931694657155,0.2749333679676056
Knoxvile,Bridgeport,0.21182871,2.3926473,0.43260084244280816,0.27624672651290894
Knoxvile,Chicago,1.3964195,15.99648,0.4486818482646605,0.2142893671989441
Knoxvile,Duluth,0.28176802,3.2518668,0.3639864267231746,0.29609447717666626
Knoxvile,Fort_wayne,0.19444302,2.108141,0.3889197974498755,0.25883209705352783
Knoxvile,Hartford,0.28642896,3.208131,0.43045392059927523,0.284228652715683
Knoxvile,Jackson_MS,0.5880897,6.779873,0.4306267469635048,0.27665191888809204
Knoxvile,Knoxvile,0.0,0.0,0.47370291694301225,0.0
Knoxvile,Lansing_east,0.33686438,3.9351742,0.3782188817536323,0.2759970426559448
Knoxvile,Modesto,0.3872369,4.8958993,0.4131653619222966,0.35455697774887085
Knoxvile,Montgomery,0.5457392,6.0847025,0.43588688668846565,0.28130191564559937
Knoxvile,newyork,2.61831,33.250008,0.4387476337683691,0.21294650435447693
Knoxvile,Oklahoma,0.44487938,5.1077814,0.38747664352411704,0.30112165212631226
Lansing_east,Albany,0.18343699,2.1540377,0.5235592530669773,0.3183109164237976
Lansing_east,Atlanta,0.33743897,4.275459,0.5175286697770727,0.353487491607666
Lansing_east,Baton,0.39110255,5.058703,0.5218798320190999,0.3021198809146881
