cb_2020_3,building_count,building_area_m2,building_density,coverage_ratio
1400000US13063040633,0.0,0.0,0.0,0.0
1400000US13063040634,0.0,0.0,0.0,0.0
1400000US13063040635,7.0,4174.15,1.557889,0.000929
1400000US13063040636,142.0,23338.8,5.255927,0.000864
1400000US13063040637,46.0,38743.04,21.451672,0.018067
1400000US13063040638,2.0,331.28,0.48766,8.1e-05
1400000US13063040639,0.0,0.0,0.0,0.0
1400000US13063980000,100.0,894197.19,6.715654,0.060051
1400000US13067030104,31.0,23652.46,7.678591,0.005859
1400000US13067030107,9.0,5006.91,2.188302,0.001217
1400000US13067030108,30.0,85313.26,1.857246,0.005282
1400000US13067030109,13.0,14700.83,1.100506,0.001244
1400000US13067030110,40.0,75163.62,6.426256,0.012076
1400000US13067030111,105.0,316170.56,12.347646,0.037181
1400000US13067030112,21.0,23002.77,14.696507,0.016098
1400000US13067030113,1.0,847.35,0.457077,0.000387
1400000US13067030220,25.0,24511.82,13.768347,0.013499
1400000US13067030233,10.0,13892.05,1.415691,0.001967
1400000US13067030235,52.0,65243.79,4.179637,0.005244
1400000US13067030236,3.0,10386.74,0.572826,0.001983
1400000US13067030240,8.0,5432.84,1.372358,0.000932
1400000US13067030241,75.0,36772.01,15.62239,0.00766
1400000US13067030242,250.0,55434.6,68.888913,0.015275
1400000US13067030243,624.0,121003.28,174.748994,0.033887
1400000US13067030244,43.0,31709.32,5.40085,0.003983
1400000US13067030245,0.0,0.0,0.0,0.0
1400000US13067030246,47.0,21649.8,24.568445,0.011317
1400000US13067030247,38.0,39768.09,13.779639,0.014421
1400000US13067030248,84.0,392602.46,12.34189,0.057684
1400000US13067030249,28.0,59393.15,5.674491,0.012037
1400000US13067030250,9.0,8185.24,0.97784,0.000889
1400000US13067030251,49.0,55454.37,9.335802,0.010566
1400000US13067030252,20.0,58268.05,2.07279,0.006039
1400000US13067030253,46.0,50789.05,4.698915,0.005188
1400000US13067030254,3.0,10288.82,2.373784,0.008141
1400000US13067030255,54.0,67453.37,16.949647,0.021172
1400000US13067030256,14.0,8342.19,1.716508,0.001023
1400000US13067030257,30.0,32381.69,13.101627,0.014142
1400000US13067030258,146.0,160515.12,39.477715,0.043403
1400000US13067030259,28.0,22075.13,9.214182,0.007264
1400000US13067030260,24.0,12126.85,9.383838,0.004742
1400000US13067030261,7.0,22421.2,3.467982,0.011108
1400000US13067030262,51.0,45272.94,7.230823,0.006419
1400000US13067030263,40.0,38918.44,6.313377,0.006143
1400000US13067030264,2.0,1075.19,0.435095,0.000234
1400000US13067030265,3.0,26199.72,0.687218,0.006002
1400000US13067030266,12.0,11824.42,1.727833,0.001703
1400000US13067030267,7.0,5827.83,1.916436,0.001596
1400000US13067030268,13.0,3677.18,1.931703,0.000546
1400000US13067030269,2.0,12140.53,0.394638,0.002396
1400000US13067030270,4.0,12880.03,0.946177,0.003047
