Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Montgomery,Lansing_east,0.20970899,2.1311026,0.4680884063286368,0.4660402238368988
Montgomery,Modesto,0.25997972,3.4080822,0.3943772224448905,0.48973017930984497
Montgomery,Montgomery,0.0,0.0,0.5045245294923415,0.0
Montgomery,newyork,0.16803169,1.679227,0.4578797481903981,0.33221712708473206
Montgomery,Oklahoma,0.2234408,2.4534323,0.4173947424718427,0.4416610598564148
newyork,Albany,0.15742138,1.3965658,0.0,0.32150453329086304
newyork,Atlanta,0.12587719,1.1562561,0.0,0.2567020654678345
newyork,Baton,0.16666049,1.5494069,0.0,0.3138812780380249
newyork,Bridgeport,0.12170823,1.1133267,0.0,0.29718124866485596
newyork,Chicago,0.040338542,0.41698864,0.0,0.10453599691390991
newyork,Duluth,0.1756211,1.6233437,0.0,0.45108330249786377
newyork,Fort_wayne,0.18173584,1.5420853,0.0,0.23116439580917358
newyork,Hartford,0.14485478,1.2898401,0.0,0.37485867738723755
newyork,Jackson_MS,0.2505964,2.3625324,0.0,0.46250057220458984
newyork,Knoxvile,0.15811081,1.4457613,0.0,0.30013012886047363
newyork,Lansing_east,0.21177217,1.8947257,0.0,0.2970675528049469
newyork,Modesto,0.12050156,1.1475797,0.0,0.3223746418952942
newyork,Montgomery,0.23614302,2.1685905,0.0,0.5200340747833252
newyork,newyork,0.0,0.0,0.0,0.0
newyork,Oklahoma,0.06760964,0.6687283,0.0,0.22930526733398438
Oklahoma,Albany,0.2938547,2.9419785,0.287374978816512,0.32926303148269653
Oklahoma,Atlanta,0.1546741,1.6517893,0.350062261931379,0.5009623169898987
Oklahoma,Baton,0.1382787,1.5515207,0.388116562171694,0.3358902931213379
Oklahoma,Bridgeport,0.19111776,1.9197463,0.3454529284523329,0.28864192962646484
Oklahoma,Chicago,0.11381601,1.1856889,0.41577040308414226,0.28747785091400146
Oklahoma,Duluth,0.37088937,3.6384573,0.3266564535791143,0.30101028084754944
Oklahoma,Fort_wayne,0.21012183,2.0606515,0.3299797766389543,0.26978129148483276
Oklahoma,Hartford,0.21314949,2.1293542,0.3604469183154393,0.27302777767181396
Oklahoma,Jackson_MS,0.14521283,1.5200589,0.3227079894779903,0.3414970338344574
Oklahoma,Knoxvile,0.1648942,1.6568611,0.3527427813576328,0.3705276846885681
Oklahoma,Lansing_east,0.31108174,3.1590633,0.2921332613095732,0.32606661319732666
Oklahoma,Modesto,0.119045965,1.3367974,0.4584247996369627,0.424568772315979
Oklahoma,Montgomery,0.16741373,1.5964302,0.36052689487295075,0.31606525182724
Oklahoma,newyork,0.21140626,2.0948763,0.3675765569927836,0.23871630430221558
Oklahoma,Oklahoma,0.0,0.0,0.552422783458702,0.0
