cb_2020_3,cbsa_code,cbsa_title,group,elev_mean,slope_mean,ndvi_mean,tcc_mean,dist_water_m,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio
1400000US09003400101,25540,"Hartford-East Hartford-Middletown, CT",high,20.630471292601474,3.115463361406288,0.46819605515703927,41.69282329008103,491.2384157697527,0.0,0.527486,0.087914,0.0,0.087914,0.087914,0.0,1.40663,1.002718,0.155836,0.316844,80.4551
1400000US09003400102,25540,"Hartford-East Hartford-Middletown, CT",high,21.04346255802009,2.4045111265690324,0.48412201723824655,42.253664309914086,447.404028690571,0.0,1.583283,0.487164,0.365373,0.365373,1.096119,0.730746,5.724177,1.637408,0.258184,0.20664,85.1677
1400000US09003400200,25540,"Hartford-East Hartford-Middletown, CT",high,76.3007574946825,5.828913051431653,0.5455560075138194,57.714973590194454,634.9115889665319,0.0,0.091015,0.0,0.0,0.060677,0.030338,0.0,1.365228,1.011404,0.220703,0.166481,92.7958
1400000US09003400300,25540,"Hartford-East Hartford-Middletown, CT",high,75.5046143598109,5.273441035072803,0.5454927420544655,58.41151352561774,611.0110576583266,0.128203,0.192304,0.0,0.0,0.256405,0.320507,0.0,2.756357,1.333736,0.184315,0.256683,96.6028
1400000US09003405100,25540,"Hartford-East Hartford-Middletown, CT",high,120.32978534545745,7.306317097192593,0.4233106300127721,54.881215767176556,565.8881076794726,0.0,1.544262,0.0,0.0,0.386066,0.772131,0.0,5.790983,0.9557,0.245652,0.100621,85.6978
1400000US09003405200,25540,"Hartford-East Hartford-Middletown, CT",high,76.43032512749804,2.396740367594123,0.4206207361977984,34.41541665974976,868.9286501926808,0.827707,0.275902,0.0,0.0,0.551805,0.275902,0.0,4.966241,1.277034,0.160914,0.180909,91.9141
1400000US09003405300,25540,"Hartford-East Hartford-Middletown, CT",high,86.64005435541335,2.469344939302689,0.4750495496723495,37.61688649450103,870.1698111434706,0.286263,0.0,0.0,0.0,0.0,0.0,0.0,1.14505,-0.0,0.200597,0.233947,72.4464
1400000US09003405401,25540,"Hartford-East Hartford-Middletown, CT",high,83.79818598053689,2.9604874294994494,0.463447828753643,41.5418964063992,1142.1389001625143,0.263795,0.0,0.0,0.0,0.0,0.0,0.0,0.263795,-0.0,0.21463,0.162854,100.4828
1400000US09003405402,25540,"Hartford-East Hartford-Middletown, CT",high,73.99236378068127,2.4610169713290366,0.3963926119665367,27.65985975003849,456.8531319340928,0.0,0.0,0.0,0.0,0.21846,0.0,0.0,0.873839,-0.0,0.136851,0.219016,85.2851
1400000US09003405500,25540,"Hartford-East Hartford-Middletown, CT",high,189.73546182753287,7.576864076239005,0.4581409252401975,69.16203349615787,685.3855190869139,0.119238,0.0,0.0,0.0,0.0,0.0,0.0,0.47695,-0.0,0.250436,0.137817,94.0203
1400000US09003405600,25540,"Hartford-East Hartford-Middletown, CT",high,219.27033158973705,5.779811901006631,0.4499382244119285,56.66886480767078,672.3904388939598,0.131359,0.525437,0.0,0.0,0.0,0.131359,0.0,1.182233,0.867563,0.261518,0.111616,96.8574
1400000US09003405700,25540,"Hartford-East Hartford-Middletown, CT",high,158.42988199756675,7.122014742322538,0.46113537266468607,40.063586106305884,478.0164560522049,0.278546,0.557092,0.0,0.0,0.0,0.835639,0.0,3.342554,1.011404,0.162892,0.183614,95.9396
1400000US09003405801,25540,"Hartford-East Hartford-Middletown, CT",high,141.4950338238309,4.652666758612096,0.48157457600870657,53.89175278893036,940.6955984906149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322365,0.0,0.161787,0.107242,95.012
1400000US09003405802,25540,"Hartford-East Hartford-Middletown, CT",high,215.06497618904888,4.864022455440354,0.5203224494083525,45.7918373208694,968.5244343590106,0.160391,0.0,0.0,0.0,0.080196,0.0,0.0,3.04743,0.636514,0.175698,0.202205,106.3408
1400000US09003405900,25540,"Hartford-East Hartford-Middletown, CT",high,119.41832504689732,5.25742602371246,0.49924595151893314,53.855868897180244,950.389235194302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754644,0.0,0.222899,0.165756,106.418
1400000US09003406001,25540,"Hartford-East Hartford-Middletown, CT",high,83.83462084921139,2.0645961959504433,0.4734118018535712,50.2277956795173,732.3409369959354,0.234734,0.469469,0.234734,0.0,0.234734,0.234734,0.0,3.286282,1.56071,0.228228,0.177928,76.4238
1400000US09003406002,25540,"Hartford-East Hartford-Middletown, CT",high,103.35479318992849,2.514442656267969,0.4907928982260898,45.272100952421006,776.8909260143868,0.258317,0.258317,0.0,0.0,0.0,0.0,0.0,1.291583,0.693147,0.156412,0.227406,104.7531
1400000US09003406100,25540,"Hartford-East Hartford-Middletown, CT",high,100.08745595673562,3.4374368287383965,0.2889823989667225,20.188591603083186,531.6018237274349,2.222027,6.110575,0.555507,0.0,0.555507,1.111014,1.66652,18.887231,1.427217,0.26416,0.188221,101.9231
1400000US09003410101,25540,"Hartford-East Hartford-Middletown, CT",high,223.7586609294944,6.253549384933536,0.5182510942282884,73.66062611861571,1005.4242959557736,0.02282,0.0,0.0,0.0,0.114099,0.0,0.0,3.012221,0.450561,0.229959,0.143771,101.5933
1400000US09003410102,25540,"Hartford-East Hartford-Middletown, CT",high,206.79511490463648,7.007151456475211,0.5361259237645066,71.48159985078071,964.0040077475277,0.090617,0.0,0.0,0.0,0.0,0.030206,0.030206,0.664527,0.950271,0.271311,0.140697,105.0752
